Number,Short description,Assignment Group,Ticket Type,First Assignment Group,Additional comments (end-user view),Work notes (internal view)
INC0010338,New client account setup delayed,Core Banking L3,Incident,Core Banking L3,"16-08-2026 21:20:52 - Andrew Chen (Additional comments (end-user view))
Still waiting and this delay is unacceptable. the password reset request needs to be fixed today.

16-08-2026 16:11:52 - Andrew Chen (Additional comments (end-user view))
I'm not happy about how long the password reset request has been an issue. This is urgent.","16-08-2026 23:10:52 - Hannah Lee (Work notes (internal view))
Fix for the password reset request delayed again due to a failed deployment. Apologized to user for the poor experience.

16-08-2026 18:05:52 - Hannah Lee (Work notes (internal view))
Issue with the password reset request is more complex than expected; still working on it.

16-08-2026 16:43:52 - Hannah Lee (Work notes (internal view))
Acknowledged the request. Reviewing the password reset request now and will update shortly."
INC0010339,Payment batch failed to post,Risk & Compliance Ops,Incident,Risk & Compliance Ops,"31-07-2026 19:50:52 - Amy Chen (Additional comments (end-user view))
Okay, please keep me posted on the router configuration.

31-07-2026 15:11:52 - Amy Chen (Additional comments (end-user view))
Hello, I'm having an issue with the router configuration. Please advise.","31-07-2026 20:38:52 - Liam O'Connor (Work notes (internal view))
Change implemented for the router configuration. Monitoring for 24 hours before closure.

31-07-2026 16:53:52 - Liam O'Connor (Work notes (internal view))
Investigation in progress on the router configuration. Will provide an update within SLA.

31-07-2026 15:19:52 - Liam O'Connor (Work notes (internal view))
Acknowledged the request. Reviewing the router configuration now and will update shortly."
INC0010340,New client account setup delayed,Access Management Team,Defect,Access Management Team,"01-08-2026 21:54:52 - Marcus Webb (Additional comments (end-user view))
Okay, please keep me posted on the purchase order mismatch.

01-08-2026 17:11:52 - Marcus Webb (Additional comments (end-user view))
Hello, I'm having an issue with the purchase order mismatch. Please advise.","01-08-2026 23:45:52 - Arjun Mehta (Work notes (internal view))
Update applied for the purchase order mismatch. Awaiting user confirmation before closing.

01-08-2026 18:40:52 - Arjun Mehta (Work notes (internal view))
Investigation in progress on the purchase order mismatch. Will provide an update within SLA.

01-08-2026 17:40:52 - Arjun Mehta (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the purchase order mismatch."
INC0010341,Risk limit breach not alerting,Risk & Compliance Ops,Incident,Risk & Compliance Ops,"08-08-2026 01:54:52 - Andrew Chen (Additional comments (end-user view))
That worked perfectly, thank you so much! Really appreciate the quick and professional help.

07-08-2026 21:11:52 - Andrew Chen (Additional comments (end-user view))
Hello, I need help with the network latency. Not urgent, just checking in.","08-08-2026 03:09:52 - Wei Zhang (Work notes (internal view))
Resolved. Applied fix for the network latency and confirmed working with the end user. Closing ticket.

07-08-2026 23:43:52 - Wei Zhang (Work notes (internal view))
Found a straightforward fix for the network latency. Deploying shortly.

07-08-2026 21:21:52 - Wei Zhang (Work notes (internal view))
Picked up this ticket. Starting investigation into the network latency."
INC0010342,Onboarding workflow stuck,Core Banking L3,Service Request,Core Banking L3,"16-08-2026 14:21:52 - Owen Blake (Additional comments (end-user view))
Still waiting and this delay is unacceptable. the wifi access point needs to be fixed today.

16-08-2026 09:11:52 - Owen Blake (Additional comments (end-user view))
Hello, the wifi access point has been broken for a while now and it's slowing my whole team down.","16-08-2026 14:51:52 - Emily Carter (Work notes (internal view))
Fix for the wifi access point delayed again due to a failed deployment. Apologized to user for the poor experience.

16-08-2026 11:30:52 - Emily Carter (Work notes (internal view))
Investigation delayed due to dependency on another team for the wifi access point.

16-08-2026 09:25:52 - Emily Carter (Work notes (internal view))
Picked up this ticket. Starting investigation into the wifi access point."
INC0010343,Mismatch in trade recon,Payments L2 Support,Service Request,Payments L2 Support,"24-07-2026 22:48:52 - Amy Chen (Additional comments (end-user view))
Okay, please keep me posted on the wifi access point.

24-07-2026 18:11:52 - Amy Chen (Additional comments (end-user view))
Hello, I'm having an issue with the wifi access point. Please advise.","24-07-2026 23:23:52 - Mei Tan (Work notes (internal view))
Update applied for the wifi access point. Awaiting user confirmation before closing.

24-07-2026 20:33:52 - Mei Tan (Work notes (internal view))
Investigation in progress on the wifi access point. Will provide an update within SLA.

24-07-2026 18:35:52 - Mei Tan (Work notes (internal view))
Acknowledged the request. Reviewing the wifi access point now and will update shortly."
INC0010344,Scheduled report delayed,Trade Support L2,Incident,Trade Support L2,"22-07-2026 09:31:52 - Tommy Gore (Additional comments (end-user view))
That worked perfectly, thank you so much! Really appreciate the quick and professional help.

22-07-2026 05:11:52 - Tommy Gore (Additional comments (end-user view))
Hi, could someone look into the billing invoice discrepancy when you get a chance? Thanks in advance!","22-07-2026 10:18:52 - Maria Silva (Work notes (internal view))
Resolved. Applied fix for the billing invoice discrepancy and confirmed working with the end user. Closing ticket.

22-07-2026 07:47:52 - Maria Silva (Work notes (internal view))
Root cause identified quickly. Applying the fix for the billing invoice discrepancy now.

22-07-2026 05:19:52 - Maria Silva (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the billing invoice discrepancy."
INC0010345,Booking screen unresponsive,Core Banking L3,Service Request,Core Banking L3,"14-07-2026 22:36:52 - Tommy Gore (Additional comments (end-user view))
Okay, please keep me posted on the purchase order mismatch.

14-07-2026 19:11:52 - Tommy Gore (Additional comments (end-user view))
Hi team, requesting assistance with the purchase order mismatch.","14-07-2026 23:15:52 - Emily Carter (Work notes (internal view))
Change implemented for the purchase order mismatch. Monitoring for 24 hours before closure.

14-07-2026 20:54:52 - Emily Carter (Work notes (internal view))
Investigation in progress on the purchase order mismatch. Will provide an update within SLA.

14-07-2026 19:24:52 - Emily Carter (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the purchase order mismatch."
INC0010346,Trade amendment not syncing,Access Management Team,Incident,Access Management Team,"02-08-2026 10:16:52 - Helena Ruiz (Additional comments (end-user view))
I'm still not happy - the email service outage is still broken and I've been ignored for too long.

02-08-2026 03:11:52 - Helena Ruiz (Additional comments (end-user view))
I'm not happy about how long the email service outage has been an issue. This is urgent.","02-08-2026 11:25:52 - Carlos Mendes (Work notes (internal view))
Fix for the email service outage delayed again due to a failed deployment. Apologized to user for the poor experience.

02-08-2026 06:20:52 - Carlos Mendes (Work notes (internal view))
Issue with the email service outage is more complex than expected; still working on it.

02-08-2026 03:25:52 - Carlos Mendes (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the email service outage."
INC0010347,Break in nostro reconciliation,Risk & Compliance Ops,Service Request,Risk & Compliance Ops,"10-08-2026 12:08:52 - Amy Chen (Additional comments (end-user view))
I'm still not happy - the software license renewal is still broken and I've been ignored for too long.

10-08-2026 06:11:52 - Amy Chen (Additional comments (end-user view))
I'm not happy about how long the software license renewal has been an issue. This is urgent.","10-08-2026 13:24:52 - Liam O'Connor (Work notes (internal view))
Workaround provided for the software license renewal but underlying issue remains unresolved.

10-08-2026 08:45:52 - Liam O'Connor (Work notes (internal view))
Investigation delayed due to dependency on another team for the software license renewal.

10-08-2026 06:43:52 - Liam O'Connor (Work notes (internal view))
Picked up this ticket. Starting investigation into the software license renewal."
INC0010348,Recon job failed overnight,Trade Support L2,Incident,Trade Support L2,"08-08-2026 07:03:52 - Helena Ruiz (Additional comments (end-user view))
Okay, please keep me posted on the router configuration.

08-08-2026 04:11:52 - Helena Ruiz (Additional comments (end-user view))
Hello, I'm having an issue with the router configuration. Please advise.","08-08-2026 08:51:52 - James Cole (Work notes (internal view))
Update applied for the router configuration. Awaiting user confirmation before closing.

08-08-2026 05:26:52 - James Cole (Work notes (internal view))
Investigation in progress on the router configuration. Will provide an update within SLA.

08-08-2026 04:21:52 - James Cole (Work notes (internal view))
Picked up this ticket. Starting investigation into the router configuration."
INC0010349,Daily P&L report not generated,Core Banking L3,Defect,Core Banking L3,"07-07-2026 01:56:52 - Amy Chen (Additional comments (end-user view))
I'm still not happy - the account password policy is still broken and I've been ignored for too long.

06-07-2026 21:11:52 - Amy Chen (Additional comments (end-user view))
I'm not happy about how long the account password policy has been an issue. This is urgent.","07-07-2026 03:20:52 - Noah Williams (Work notes (internal view))
Workaround provided for the account password policy but underlying issue remains unresolved.

06-07-2026 23:05:52 - Noah Williams (Work notes (internal view))
Investigation delayed due to dependency on another team for the account password policy.

06-07-2026 21:41:52 - Noah Williams (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the account password policy."
INC0010350,Recon job failed overnight,L1 Service Desk,Defect,L1 Service Desk,"07-08-2026 06:13:52 - Linda Cox (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

07-08-2026 01:11:52 - Linda Cox (Additional comments (end-user view))
Hi, could someone look into the account password policy when you get a chance? Thanks in advance!","07-08-2026 07:32:52 - Arjun Mehta (Work notes (internal view))
Resolved. Applied fix for the account password policy and confirmed working with the end user. Closing ticket.

07-08-2026 04:02:52 - Arjun Mehta (Work notes (internal view))
Root cause identified quickly. Applying the fix for the account password policy now.

07-08-2026 01:34:52 - Arjun Mehta (Work notes (internal view))
Acknowledged the request. Reviewing the account password policy now and will update shortly."
INC0010351,Sanctions screening delayed,Risk & Compliance Ops,Defect,Risk & Compliance Ops,"06-07-2026 23:37:52 - Tommy Gore (Additional comments (end-user view))
I'm still not happy - the wifi access point is still broken and I've been ignored for too long.

06-07-2026 18:11:52 - Tommy Gore (Additional comments (end-user view))
Hi, this is the second time I'm reporting the wifi access point. It's really frustrating.","07-07-2026 00:37:52 - Aisha Khan (Work notes (internal view))
Fix for the wifi access point delayed again due to a failed deployment. Apologized to user for the poor experience.

06-07-2026 19:59:52 - Aisha Khan (Work notes (internal view))
Investigation delayed due to dependency on another team for the wifi access point.

06-07-2026 18:44:52 - Aisha Khan (Work notes (internal view))
Acknowledged the request. Reviewing the wifi access point now and will update shortly."
INC0010352,Trade booking rejected by risk engine,Payments L2 Support,Defect,Payments L2 Support,"13-07-2026 02:01:52 - Tommy Gore (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

12-07-2026 22:11:52 - Tommy Gore (Additional comments (end-user view))
Hello, I need help with the email service outage. Not urgent, just checking in.","13-07-2026 03:14:52 - Mei Tan (Work notes (internal view))
Resolved. Applied fix for the email service outage and confirmed working with the end user. Closing ticket.

12-07-2026 23:52:52 - Mei Tan (Work notes (internal view))
Found a straightforward fix for the email service outage. Deploying shortly.

12-07-2026 22:30:52 - Mei Tan (Work notes (internal view))
Acknowledged the request. Reviewing the email service outage now and will update shortly."
INC0010353,Sanctions screening delayed,L1 Service Desk,Incident,L1 Service Desk,"20-07-2026 07:16:52 - Amy Chen (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

20-07-2026 03:11:52 - Amy Chen (Additional comments (end-user view))
Hi, could someone look into the wifi access point when you get a chance? Thanks in advance!","20-07-2026 08:17:52 - Emily Carter (Work notes (internal view))
Resolved. Applied fix for the wifi access point and confirmed working with the end user. Closing ticket.

20-07-2026 05:10:52 - Emily Carter (Work notes (internal view))
Root cause identified quickly. Applying the fix for the wifi access point now.

20-07-2026 03:33:52 - Emily Carter (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the wifi access point."
INC0010354,Stale pricing data,Trade Support L2,Incident,ACME Support,"14-08-2026 07:31:52 - Owen Blake (Additional comments (end-user view))
Completely unacceptable. Escalate this immediately, the password reset request has been broken for far too long.

14-08-2026 01:11:52 - Owen Blake (Additional comments (end-user view))
This is the worst support experience I've had. the password reset request keeps failing and I'm furious about the delay.","14-08-2026 09:03:52 - Aisha Khan (Work notes (internal view))
Multiple failed attempts to resolve the password reset request. User is angry and has requested management escalation.

14-08-2026 03:39:52 - Aisha Khan (Work notes (internal view))
Repeated attempts to resolve the password reset request have failed. Escalating to L3 / senior engineer.

14-08-2026 01:41:52 - Aisha Khan (Work notes (internal view))
Picked up this ticket. Starting investigation into the password reset request."
INC0010355,Risk limit breach not alerting,Access Management Team,Service Request,Access Management Team,"02-08-2026 10:51:52 - Linda Cox (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

02-08-2026 08:11:52 - Linda Cox (Additional comments (end-user view))
Hi, could someone look into the wifi access point when you get a chance? Thanks in advance!","02-08-2026 12:23:52 - Emily Carter (Work notes (internal view))
Resolved. Applied fix for the wifi access point and confirmed working with the end user. Closing ticket.

02-08-2026 09:41:52 - Emily Carter (Work notes (internal view))
Root cause identified quickly. Applying the fix for the wifi access point now.

02-08-2026 08:33:52 - Emily Carter (Work notes (internal view))
Acknowledged the request. Reviewing the wifi access point now and will update shortly."
INC0010356,Stale pricing data,Core Banking L3,Incident,Core Banking L3,"04-08-2026 08:24:52 - Tommy Gore (Additional comments (end-user view))
I'm still not happy - the instance upgrade is still broken and I've been ignored for too long.

04-08-2026 03:11:52 - Tommy Gore (Additional comments (end-user view))
I'm not happy about how long the instance upgrade has been an issue. This is urgent.","04-08-2026 08:41:52 - Arjun Mehta (Work notes (internal view))
Fix for the instance upgrade delayed again due to a failed deployment. Apologized to user for the poor experience.

04-08-2026 05:09:52 - Arjun Mehta (Work notes (internal view))
Investigation delayed due to dependency on another team for the instance upgrade.

04-08-2026 03:46:52 - Arjun Mehta (Work notes (internal view))
Picked up this ticket. Starting investigation into the instance upgrade."
INC0010357,Mismatch in trade recon,Access Management Team,Incident,Access Management Team,"21-08-2026 23:28:52 - Amy Chen (Additional comments (end-user view))
Okay, please keep me posted on the billing invoice discrepancy.

21-08-2026 19:11:52 - Amy Chen (Additional comments (end-user view))
Good day, raising this ticket regarding the billing invoice discrepancy.","22-08-2026 00:16:52 - Ethan Brooks (Work notes (internal view))
Update applied for the billing invoice discrepancy. Awaiting user confirmation before closing.

21-08-2026 22:44:52 - Ethan Brooks (Work notes (internal view))
Investigation in progress on the billing invoice discrepancy. Will provide an update within SLA.

21-08-2026 19:48:52 - Ethan Brooks (Work notes (internal view))
Acknowledged the request. Reviewing the billing invoice discrepancy now and will update shortly."
INC0010358,Daily P&L report not generated,Trade Support L2,Defect,Network Support,"04-08-2026 23:04:52 - Owen Blake (Additional comments (end-user view))
Completely unacceptable. Escalate this immediately, the network latency has been broken for far too long.

04-08-2026 18:11:52 - Owen Blake (Additional comments (end-user view))
This is unacceptable - the network latency has failed again and I've been waiting for days.","05-08-2026 00:20:52 - Fatima Al-Sayed (Work notes (internal view))
Multiple failed attempts to resolve the network latency. User is angry and has requested management escalation.

04-08-2026 19:59:52 - Fatima Al-Sayed (Work notes (internal view))
Repeated attempts to resolve the network latency have failed. Escalating to L3 / senior engineer.

04-08-2026 18:34:52 - Fatima Al-Sayed (Work notes (internal view))
Acknowledged the request. Reviewing the network latency now and will update shortly."
INC0010359,Market data feed dropped,Access Management Team,Defect,Access Management Team,"23-07-2026 13:26:52 - Marcus Webb (Additional comments (end-user view))
Still waiting and this delay is unacceptable. the billing invoice discrepancy needs to be fixed today.

23-07-2026 09:11:52 - Marcus Webb (Additional comments (end-user view))
I'm not happy about how long the billing invoice discrepancy has been an issue. This is urgent.","23-07-2026 14:10:52 - Ethan Brooks (Work notes (internal view))
Workaround provided for the billing invoice discrepancy but underlying issue remains unresolved.

23-07-2026 11:00:52 - Ethan Brooks (Work notes (internal view))
Issue with the billing invoice discrepancy is more complex than expected; still working on it.

23-07-2026 09:48:52 - Ethan Brooks (Work notes (internal view))
Picked up this ticket. Starting investigation into the billing invoice discrepancy."
INC0010360,Compliance check flagged false positive,Core Banking L3,Incident,Core Banking L3,"22-08-2026 14:07:52 - Marcus Webb (Additional comments (end-user view))
That worked perfectly, thank you so much! Really appreciate the quick and professional help.

22-08-2026 10:11:52 - Marcus Webb (Additional comments (end-user view))
Hi, could someone look into the wifi access point when you get a chance? Thanks in advance!","22-08-2026 16:02:52 - Mei Tan (Work notes (internal view))
Resolved. Applied fix for the wifi access point and confirmed working with the end user. Closing ticket.

22-08-2026 11:36:52 - Mei Tan (Work notes (internal view))
Root cause identified quickly. Applying the fix for the wifi access point now.

22-08-2026 10:42:52 - Mei Tan (Work notes (internal view))
Acknowledged the request. Reviewing the wifi access point now and will update shortly."
INC0010361,Trade booking rejected by risk engine,Trade Support L2,Defect,Trade Support L2,"30-07-2026 20:40:52 - Andrew Chen (Additional comments (end-user view))
That worked perfectly, thank you so much! Really appreciate the quick and professional help.

30-07-2026 16:11:52 - Andrew Chen (Additional comments (end-user view))
Hi, could someone look into the account password policy when you get a chance? Thanks in advance!","30-07-2026 22:24:52 - Liam O'Connor (Work notes (internal view))
Fix deployed and verified for the account password policy. User confirmed satisfied. Marking resolved.

30-07-2026 18:36:52 - Liam O'Connor (Work notes (internal view))
Found a straightforward fix for the account password policy. Deploying shortly.

30-07-2026 16:16:52 - Liam O'Connor (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the account password policy."
INC0010362,Sanctions screening delayed,Payments L2 Support,Service Request,Payments L2 Support,"01-07-2026 01:58:52 - Tommy Gore (Additional comments (end-user view))
Still waiting and this delay is unacceptable. the laptop connectivity issue needs to be fixed today.

30-06-2026 22:11:52 - Tommy Gore (Additional comments (end-user view))
Hello, the laptop connectivity issue has been broken for a while now and it's slowing my whole team down.","01-07-2026 02:23:52 - Nadia Rahman (Work notes (internal view))
Workaround provided for the laptop connectivity issue but underlying issue remains unresolved.

30-06-2026 23:26:52 - Nadia Rahman (Work notes (internal view))
Issue with the laptop connectivity issue is more complex than expected; still working on it.

30-06-2026 22:22:52 - Nadia Rahman (Work notes (internal view))
Picked up this ticket. Starting investigation into the laptop connectivity issue."
INC0010363,Onboarding workflow stuck,Risk & Compliance Ops,Defect,Risk & Compliance Ops,"05-07-2026 01:42:52 - Nadia Farouk (Additional comments (end-user view))
Okay, please keep me posted on the password reset request.

04-07-2026 20:11:52 - Nadia Farouk (Additional comments (end-user view))
Hello, I'm having an issue with the password reset request. Please advise.","05-07-2026 02:45:52 - Priya Sharma (Work notes (internal view))
Update applied for the password reset request. Awaiting user confirmation before closing.

04-07-2026 22:59:52 - Priya Sharma (Work notes (internal view))
Investigation in progress on the password reset request. Will provide an update within SLA.

04-07-2026 20:16:52 - Priya Sharma (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the password reset request."
INC0010364,Scheduled report delayed,Payments L2 Support,Service Request,Payments L2 Support,"04-08-2026 08:13:52 - Sara Ibrahim (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

04-08-2026 02:11:52 - Sara Ibrahim (Additional comments (end-user view))
Hi, could someone look into the laptop connectivity issue when you get a chance? Thanks in advance!","04-08-2026 09:46:52 - Nadia Rahman (Work notes (internal view))
Fix deployed and verified for the laptop connectivity issue. User confirmed satisfied. Marking resolved.

04-08-2026 05:19:52 - Nadia Rahman (Work notes (internal view))
Found a straightforward fix for the laptop connectivity issue. Deploying shortly.

04-08-2026 02:32:52 - Nadia Rahman (Work notes (internal view))
Picked up this ticket. Starting investigation into the laptop connectivity issue."
INC0010365,Role permissions incorrect,Core Banking L3,Defect,Core Banking L3,"13-07-2026 11:54:52 - Marcus Webb (Additional comments (end-user view))
Understood, following up again if there's no update soon.

13-07-2026 07:11:52 - Marcus Webb (Additional comments (end-user view))
Hi team, requesting assistance with the wifi access point.","13-07-2026 13:22:52 - Noah Williams (Work notes (internal view))
Change implemented for the wifi access point. Monitoring for 24 hours before closure.

13-07-2026 10:20:52 - Noah Williams (Work notes (internal view))
Gathering more details on the wifi access point before proceeding.

13-07-2026 07:27:52 - Noah Williams (Work notes (internal view))
Picked up this ticket. Starting investigation into the wifi access point."
INC0010366,Settlement date mismatch,Payments L2 Support,Incident,ACME Support,"14-07-2026 12:05:52 - Marcus Webb (Additional comments (end-user view))
Completely unacceptable. Escalate this immediately, the network latency has been broken for far too long.

14-07-2026 09:11:52 - Marcus Webb (Additional comments (end-user view))
This is unacceptable - the network latency has failed again and I've been waiting for days.","14-07-2026 14:00:52 - Omar Siddiqui (Work notes (internal view))
Critical issue with the network latency still unresolved after repeated escalation. SLA breached.

14-07-2026 10:41:52 - Omar Siddiqui (Work notes (internal view))
Ticket was reassigned twice due to unclear ownership of the network latency. Escalating internally.

14-07-2026 09:30:52 - Omar Siddiqui (Work notes (internal view))
Picked up this ticket. Starting investigation into the network latency."
INC0010367,New client account setup delayed,Access Management Team,Service Request,Access Management Team,"16-07-2026 20:26:52 - Nadia Farouk (Additional comments (end-user view))
I'm still not happy - the billing invoice discrepancy is still broken and I've been ignored for too long.

16-07-2026 16:11:52 - Nadia Farouk (Additional comments (end-user view))
Hello, the billing invoice discrepancy has been broken for a while now and it's slowing my whole team down.","16-07-2026 20:52:52 - Ethan Brooks (Work notes (internal view))
Fix for the billing invoice discrepancy delayed again due to a failed deployment. Apologized to user for the poor experience.

16-07-2026 17:23:52 - Ethan Brooks (Work notes (internal view))
Issue with the billing invoice discrepancy is more complex than expected; still working on it.

16-07-2026 16:16:52 - Ethan Brooks (Work notes (internal view))
Acknowledged the request. Reviewing the billing invoice discrepancy now and will update shortly."
INC0010368,Break in nostro reconciliation,Payments L2 Support,Service Request,Payments L2 Support,"16-08-2026 08:55:52 - David Kim (Additional comments (end-user view))
That worked perfectly, thank you so much! Really appreciate the quick and professional help.

16-08-2026 02:11:52 - David Kim (Additional comments (end-user view))
Hi, could someone look into the VPN connection when you get a chance? Thanks in advance!","16-08-2026 10:49:52 - Hannah Lee (Work notes (internal view))
Resolved. Applied fix for the VPN connection and confirmed working with the end user. Closing ticket.

16-08-2026 05:23:52 - Hannah Lee (Work notes (internal view))
Found a straightforward fix for the VPN connection. Deploying shortly.

16-08-2026 02:40:52 - Hannah Lee (Work notes (internal view))
Picked up this ticket. Starting investigation into the VPN connection."
INC0010369,Market data feed dropped,L1 Service Desk,Service Request,L1 Service Desk,"02-08-2026 17:19:52 - Helena Ruiz (Additional comments (end-user view))
That worked perfectly, thank you so much! Really appreciate the quick and professional help.

02-08-2026 13:11:52 - Helena Ruiz (Additional comments (end-user view))
Hi, could someone look into the network latency when you get a chance? Thanks in advance!","02-08-2026 19:00:52 - Carlos Mendes (Work notes (internal view))
Resolved. Applied fix for the network latency and confirmed working with the end user. Closing ticket.

02-08-2026 14:12:52 - Carlos Mendes (Work notes (internal view))
Root cause identified quickly. Applying the fix for the network latency now.

02-08-2026 13:34:52 - Carlos Mendes (Work notes (internal view))
Acknowledged the request. Reviewing the network latency now and will update shortly."
INC0010370,VaR report incorrect,Core Banking L3,Service Request,Core Banking L3,"14-08-2026 21:46:52 - Sara Ibrahim (Additional comments (end-user view))
That worked perfectly, thank you so much! Really appreciate the quick and professional help.

14-08-2026 17:11:52 - Sara Ibrahim (Additional comments (end-user view))
Hi team, quick question about the billing invoice discrepancy - hoping for a fast turnaround.","14-08-2026 23:07:52 - Emily Carter (Work notes (internal view))
Resolved. Applied fix for the billing invoice discrepancy and confirmed working with the end user. Closing ticket.

14-08-2026 19:33:52 - Emily Carter (Work notes (internal view))
Found a straightforward fix for the billing invoice discrepancy. Deploying shortly.

14-08-2026 17:33:52 - Emily Carter (Work notes (internal view))
Picked up this ticket. Starting investigation into the billing invoice discrepancy."
INC0010371,SWIFT message rejected,Access Management Team,Defect,Access Management Team,"03-07-2026 16:23:52 - Andrew Chen (Additional comments (end-user view))
Okay, please keep me posted on the software license renewal.

03-07-2026 11:11:52 - Andrew Chen (Additional comments (end-user view))
Good day, raising this ticket regarding the software license renewal.","03-07-2026 17:36:52 - Chloe Martin (Work notes (internal view))
Change implemented for the software license renewal. Monitoring for 24 hours before closure.

03-07-2026 13:18:52 - Chloe Martin (Work notes (internal view))
Investigation in progress on the software license renewal. Will provide an update within SLA.

03-07-2026 11:38:52 - Chloe Martin (Work notes (internal view))
Picked up this ticket. Starting investigation into the software license renewal."
INC0010372,Recon job failed overnight,L1 Service Desk,Defect,L1 Service Desk,"30-08-2026 10:26:52 - Nadia Farouk (Additional comments (end-user view))
That worked perfectly, thank you so much! Really appreciate the quick and professional help.

30-08-2026 05:11:52 - Nadia Farouk (Additional comments (end-user view))
Hi team, quick question about the wifi access point - hoping for a fast turnaround.","30-08-2026 12:23:52 - Emily Carter (Work notes (internal view))
Fix deployed and verified for the wifi access point. User confirmed satisfied. Marking resolved.

30-08-2026 08:29:52 - Emily Carter (Work notes (internal view))
Found a straightforward fix for the wifi access point. Deploying shortly.

30-08-2026 05:51:52 - Emily Carter (Work notes (internal view))
Acknowledged the request. Reviewing the wifi access point now and will update shortly."
INC0010373,Report export returns blank file,Risk & Compliance Ops,Defect,Risk & Compliance Ops,"09-07-2026 01:06:52 - Owen Blake (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

08-07-2026 19:11:52 - Owen Blake (Additional comments (end-user view))
Hello, I need help with the instance upgrade. Not urgent, just checking in.","09-07-2026 02:36:52 - Priya Sharma (Work notes (internal view))
Resolved. Applied fix for the instance upgrade and confirmed working with the end user. Closing ticket.

08-07-2026 21:42:52 - Priya Sharma (Work notes (internal view))
Found a straightforward fix for the instance upgrade. Deploying shortly.

08-07-2026 19:46:52 - Priya Sharma (Work notes (internal view))
Acknowledged the request. Reviewing the instance upgrade now and will update shortly."
INC0010374,Daily P&L report not generated,Access Management Team,Incident,Access Management Team,"23-08-2026 10:27:52 - Helena Ruiz (Additional comments (end-user view))
That worked perfectly, thank you so much! Really appreciate the quick and professional help.

23-08-2026 05:11:52 - Helena Ruiz (Additional comments (end-user view))
Hi team, quick question about the network latency - hoping for a fast turnaround.","23-08-2026 12:11:52 - Noah Williams (Work notes (internal view))
Fix deployed and verified for the network latency. User confirmed satisfied. Marking resolved.

23-08-2026 07:45:52 - Noah Williams (Work notes (internal view))
Found a straightforward fix for the network latency. Deploying shortly.

23-08-2026 05:30:52 - Noah Williams (Work notes (internal view))
Picked up this ticket. Starting investigation into the network latency."
INC0010375,Market data feed dropped,Risk & Compliance Ops,Service Request,Risk & Compliance Ops,"12-08-2026 14:25:52 - Tommy Gore (Additional comments (end-user view))
Understood, following up again if there's no update soon.

12-08-2026 11:11:52 - Tommy Gore (Additional comments (end-user view))
Hi team, requesting assistance with the software license renewal.","12-08-2026 15:07:52 - James Cole (Work notes (internal view))
Change implemented for the software license renewal. Monitoring for 24 hours before closure.

12-08-2026 12:35:52 - James Cole (Work notes (internal view))
Gathering more details on the software license renewal before proceeding.

12-08-2026 11:20:52 - James Cole (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the software license renewal."
INC0010376,Trade booking rejected by risk engine,Trade Support L2,Service Request,Trade Support L2,"30-06-2026 17:21:52 - Linda Cox (Additional comments (end-user view))
Still waiting and this delay is unacceptable. the password reset request needs to be fixed today.

30-06-2026 14:11:52 - Linda Cox (Additional comments (end-user view))
Hello, the password reset request has been broken for a while now and it's slowing my whole team down.","30-06-2026 18:01:52 - Liam O'Connor (Work notes (internal view))
Fix for the password reset request delayed again due to a failed deployment. Apologized to user for the poor experience.

30-06-2026 15:59:52 - Liam O'Connor (Work notes (internal view))
Issue with the password reset request is more complex than expected; still working on it.

30-06-2026 14:28:52 - Liam O'Connor (Work notes (internal view))
Acknowledged the request. Reviewing the password reset request now and will update shortly."
INC0010377,Market data feed dropped,Trade Support L2,Defect,Trade Support L2,"08-08-2026 12:51:52 - Nadia Farouk (Additional comments (end-user view))
I'm still not happy - the router configuration is still broken and I've been ignored for too long.

08-08-2026 09:11:52 - Nadia Farouk (Additional comments (end-user view))
Hi, this is the second time I'm reporting the router configuration. It's really frustrating.","08-08-2026 14:25:52 - Maria Silva (Work notes (internal view))
Workaround provided for the router configuration but underlying issue remains unresolved.

08-08-2026 10:18:52 - Maria Silva (Work notes (internal view))
Investigation delayed due to dependency on another team for the router configuration.

08-08-2026 09:47:52 - Maria Silva (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the router configuration."
